name,id,genres,followers,popularity,spotify_url
2KE,2vPnS0IpayC2RVFuQA08R4,"gym phonk, krushfunk",85549,66,https://open.spotify.com/artist/2vPnS0IpayC2RVFuQA08R4
TRASHXRL,3rt96VXGtEgD4uSOJ6B69H,phonk brasileiro,171116,67,https://open.spotify.com/artist/3rt96VXGtEgD4uSOJ6B69H
S3BZS,6zFMFB1JvNHkHvCSudF4id,phonk brasileiro,175434,66,https://open.spotify.com/artist/6zFMFB1JvNHkHvCSudF4id
RXDXVIL,54HaZmktN1cmdL8Ygdrmzz,gym phonk,147214,66,https://open.spotify.com/artist/54HaZmktN1cmdL8Ygdrmzz
Sadfriendd,4UT0p3ljEiD472lZp44KLH,"aesthetic rap, gym phonk, hyperpop",101271,62,https://open.spotify.com/artist/4UT0p3ljEiD472lZp44KLH
ZODIVK,6nTTVtUnmZWlPju0qzX7Or,gym phonk,109123,64,https://open.spotify.com/artist/6nTTVtUnmZWlPju0qzX7Or
Memphis Cult,6n9sdNb7mWvVmARDT6ujnJ,memphis phonk,200637,62,https://open.spotify.com/artist/6n9sdNb7mWvVmARDT6ujnJ
ARXMANE,3c4ngCW3y8USmyrjRdB1mG,"aggressive phonk, gym phonk",83344,65,https://open.spotify.com/artist/3c4ngCW3y8USmyrjRdB1mG
\$werve,60vF1fLR6yzLxCQUlnAYYj,"aggressive phonk, drift phonk, gym phonk, krushfunk",224576,63,https://open.spotify.com/artist/60vF1fLR6yzLxCQUlnAYYj
VISXGE,6kLsCQ1gKvJmjmC8XbfqFE,gym phonk,87906,64,https://open.spotify.com/artist/6kLsCQ1gKvJmjmC8XbfqFE
6YNTHMANE,24YUNOEuu3kf4OOtC8cQE5,"aggressive phonk, gym phonk, polish phonk",174119,64,https://open.spotify.com/artist/24YUNOEuu3kf4OOtC8cQE5
vtze archive,3yn6fs9MkW1i4V3S2G8Dxs,phonk brasileiro,51324,64,https://open.spotify.com/artist/3yn6fs9MkW1i4V3S2G8Dxs
0to8,5MQG067ASfGn0Cf1nE0S8g,"gym phonk, phonk brasileiro",108921,64,https://open.spotify.com/artist/5MQG067ASfGn0Cf1nE0S8g
DJ NK3,3wAFY8OyUmqiaPnGbfBSqD,phonk brasileiro,87859,63,https://open.spotify.com/artist/3wAFY8OyUmqiaPnGbfBSqD
DJ FLG,6DlWUEM6Qr9z6p6YAOLBDh,phonk brasileiro,50822,64,https://open.spotify.com/artist/6DlWUEM6Qr9z6p6YAOLBDh
slxughter,1M02J1PLobtQYok93DEvVa,gym phonk,70560,63,https://open.spotify.com/artist/1M02J1PLobtQYok93DEvVa
sma\$her,1Fl1fc7bZfRVUCffh9Uudx,"gym phonk, meme",114559,62,https://open.spotify.com/artist/1Fl1fc7bZfRVUCffh9Uudx
Hensonn,0snouHYzOWSgxRBYMQsa3H,"drift phonk, ukrainian phonk",231906,61,https://open.spotify.com/artist/0snouHYzOWSgxRBYMQsa3H
MUPP,7B9Gg9epjQzfNGdxijFczG,"drift phonk, hyperpop",158309,60,https://open.spotify.com/artist/7B9Gg9epjQzfNGdxijFczG
TRXVELER,31VaidRoI1NnHfyY8SxSL7,gym phonk,70627,63,https://open.spotify.com/artist/31VaidRoI1NnHfyY8SxSL7
Tammi Terrell,75jNCko3SnEMI5gwGqrbb8,"classic soul, motown, soul, southern soul",181683,66,https://open.spotify.com/artist/75jNCko3SnEMI5gwGqrbb8
LAZER DIM 700,3CE6MgsLpKMDfYFtexgc8U,atl drill,181860,64,https://open.spotify.com/artist/3CE6MgsLpKMDfYFtexgc8U
OT7 Quanny,3dHnXBJdd4O9KXwP1kxF6L,philly drill,124081,60,https://open.spotify.com/artist/3dHnXBJdd4O9KXwP1kxF6L
Jenn Carter,3BcgTyEdL81zMljmXcilZM,new york drill,227330,62,https://open.spotify.com/artist/3BcgTyEdL81zMljmXcilZM
Jdot Breezy,0VSM8D7ibtXjJgukfVR0eZ,"florida drill, florida rap",210136,59,https://open.spotify.com/artist/0VSM8D7ibtXjJgukfVR0eZ
41,0yknvLWQZxwsMjhUhwWZQ8,new york drill,195640,61,https://open.spotify.com/artist/0yknvLWQZxwsMjhUhwWZQ8
TaTa,43s6uFZrdusv7ggmDSpO41,new york drill,158570,61,https://open.spotify.com/artist/43s6uFZrdusv7ggmDSpO41
Real Boston Richey,1iwUuIOKYjV7SKIg27v4zi,"florida drill, memphis hip hop",157342,58,https://open.spotify.com/artist/1iwUuIOKYjV7SKIg27v4zi
SweepersENT,3gQoRf2OOQucNCzox0TI9l,new york drill,70258,57,https://open.spotify.com/artist/3gQoRf2OOQucNCzox0TI9l
Lil Tony Official,4ix2z6eBWQ6MeihaX04mB6,atl drill,100083,55,https://open.spotify.com/artist/4ix2z6eBWQ6MeihaX04mB6
Icewear Vezzo,1ZbmerOthZbxz5eR3c9Mn1,"detroit hip hop, detroit trap, florida drill, memphis hip hop",224476,55,https://open.spotify.com/artist/1ZbmerOthZbxz5eR3c9Mn1
Sdot Go,73sV26yCMzpIeYxesG3jdV,new york drill,118111,56,https://open.spotify.com/artist/73sV26yCMzpIeYxesG3jdV
SugarHill Keem,7DY7ygEiVKNki7ZIPnZoNB,new york drill,234161,56,https://open.spotify.com/artist/7DY7ygEiVKNki7ZIPnZoNB
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,"contemporary country, country, country road, modern country rock",4443149,73,https://open.spotify.com/artist/3grHWM9bx2E9vwJCdlRv9O
Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,"contemporary country, country, country road, modern country rock",2018474,74,https://open.spotify.com/artist/4MoAOfV4ROWofLG3a3hhBN
Zac Brown Band,6yJCxee7QumYr820xdIsjo,"contemporary country, country, country road, modern country rock",3826733,73,https://open.spotify.com/artist/6yJCxee7QumYr820xdIsjo
Eric Church,2IvkS5MXK0vPGnwyJsrEyV,"contemporary country, country, country road, modern country rock",3853814,73,https://open.spotify.com/artist/2IvkS5MXK0vPGnwyJsrEyV
Sleep Token,2n2RSaZqBuUUukhbLlpnE6,prog metal,1357548,75,https://open.spotify.com/artist/2n2RSaZqBuUUukhbLlpnE6
Bad Omens,3Ri4H12KFyu98LMjSoij5V,american metalcore,1339202,73,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V
Ghost,1Qp56T7n950O3EGMsSl81D,"hard rock, metal",3168753,73,https://open.spotify.com/artist/1Qp56T7n950O3EGMsSl81D
Kid Rock,7dOBabd5O4CvKrg4iriHTM,nu metal,2650454,68,https://open.spotify.com/artist/7dOBabd5O4CvKrg4iriHTM
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,"alternative metal, nu metal, post-grunge, rock",4380076,69,https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9
Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,"album rock, classic rock, glam metal, hard rock, nwobhm, rock",4998170,69,https://open.spotify.com/artist/6H1RjVyNruCmrBEWRbD0VZ
Evanescence,5nGIFgo0shDenQYSE0Sn7c,alternative metal,4538102,73,https://open.spotify.com/artist/5nGIFgo0shDenQYSE0Sn7c
Motionless In White,6MwPCCR936cYfM1dLsGVnl,"alternative metal, metalcore",1645040,69,https://open.spotify.com/artist/6MwPCCR936cYfM1dLsGVnl
Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,"alternative metal, nu metal, post-grunge, rap metal",3258201,66,https://open.spotify.com/artist/6gZq1Q6bdOxsUPUG1TaFbF
Rise Against,6Wr3hh341P84m3EI8qdn9O,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",2704142,70,https://open.spotify.com/artist/6Wr3hh341P84m3EI8qdn9O
Pierce The Veil,4iJLPqClelZOBCBifm8Fzv,"modern rock, pop punk, screamo",3032625,72,https://open.spotify.com/artist/4iJLPqClelZOBCBifm8Fzv
Sum 41,0qT79UgT5tY4yudH9VfsdT,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock",3876166,72,https://open.spotify.com/artist/0qT79UgT5tY4yudH9VfsdT
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",2646775,66,https://open.spotify.com/artist/3vAaWhdBR38Q02ohXqaNHT
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",2473621,68,https://open.spotify.com/artist/2x9SpqnPi8rlE9pjHBwmSC
All Time Low,46gyXjRIvN1NL1eCB8GBxo,"modern rock, neon pop punk, pop emo, pop punk",3024558,67,https://open.spotify.com/artist/46gyXjRIvN1NL1eCB8GBxo
The Clash,3RGLhK1IP9jnYFH4BRFJBS,"alternative rock, permanent wave, punk, rock",2764814,70,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS
Mindless Self Indulgence,5R5MLOQbI4lb7GHYioPqoN,"dance-punk, pov: indie",1035198,66,https://open.spotify.com/artist/5R5MLOQbI4lb7GHYioPqoN
Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,"dreamo, indie surf, pov: indie, surf punk, vegas indie",1169995,67,https://open.spotify.com/artist/1gl0S9pS0Zw0qfa14rDD3D
Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,"neon pop punk, pop emo, pop punk, screamo",2314407,64,https://open.spotify.com/artist/3N8Hy6xQnQv1F1XCiyGQqA
Good Charlotte,5aYyPjAsLj7UzANzdupwnS,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge",2573595,64,https://open.spotify.com/artist/5aYyPjAsLj7UzANzdupwnS
Simple Plan,2p4FqHnazRucYQHyDCdBrJ,"canadian pop punk, canadian punk, canadian rock, modern rock, neon pop punk, pop punk, pop rock",3592396,67,https://open.spotify.com/artist/2p4FqHnazRucYQHyDCdBrJ
Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,"alternative metal, pop punk, post-grunge, socal pop punk",1501832,62,https://open.spotify.com/artist/3zxKH0qp3nBCuPZCZT5Vaf
Misfits,1cXi8ALPQCBHZbf0EgP4Ey,"horror punk, new jersey hardcore, new jersey punk, punk",1386656,63,https://open.spotify.com/artist/1cXi8ALPQCBHZbf0EgP4Ey
Ramones,1co4F2pPNH8JjTutZkmgSm,"alternative rock, early us punk, permanent wave, punk, rock",2641490,65,https://open.spotify.com/artist/1co4F2pPNH8JjTutZkmgSm
jxdn,6Y64EaNqpqcZYTgs4c76gF,"pop punk, social media pop",1010368,62,https://open.spotify.com/artist/6Y64EaNqpqcZYTgs4c76gF
Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,"neon pop punk, pop punk, pop rock, texas pop punk",1145454,60,https://open.spotify.com/artist/5ND0mGcL9SKSjWIjPd0xIb
Of Mice & Men,4tususHNaR68xdgLstlGBA,"alternative metal, melodic metalcore, metalcore, pop punk, post-grunge",1291494,60,https://open.spotify.com/artist/4tususHNaR68xdgLstlGBA
Escape the Fate,5ojhEavq6altxW8fWIlLum,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo",1319805,61,https://open.spotify.com/artist/5ojhEavq6altxW8fWIlLum
